,Precinct,Seth Fleetwood,Kim Lund,WRITE-IN,Totals By Precinct,Percent Seth Votes,Percent Kim Votes,Percent Kim-Seth,Outcome
1,201,182,222,3,407,44.717444717444714,54.54545454545454,9.828009828009828,Kim
2,202,269,213,4,486,55.349794238683124,43.82716049382716,-11.522633744855968,Seth
3,203,226,230,1,457,49.45295404814004,50.32822757111597,0.87527352297593,Kim
4,204,216,246,7,469,46.05543710021322,52.45202558635395,6.396588486140725,Kim
5,205,254,258,3,515,49.320388349514566,50.09708737864078,0.7766990291262136,Kim
6,206,196,238,2,436,44.95412844036697,54.58715596330275,9.63302752293578,Kim
7,207,149,166,2,317,47.003154574132495,52.36593059936908,5.3627760252365935,Kim
8,208,246,238,1,485,50.72164948453608,49.072164948453604,-1.6494845360824744,Seth
9,209,195,189,1,385,50.649350649350644,49.09090909090909,-1.5584415584415585,Seth
10,210,199,188,0,387,51.42118863049095,48.57881136950905,-2.842377260981912,Seth
11,211,34,35,0,69,49.275362318840585,50.72463768115942,1.4492753623188406,Kim
12,212,57,111,3,171,33.33333333333333,64.91228070175438,31.57894736842105,Kim
13,213,167,209,1,377,44.297082228116714,55.437665782493376,11.140583554376658,Kim
14,214,209,297,8,514,40.66147859922179,57.78210116731517,17.120622568093385,Kim
15,215,172,292,4,468,36.75213675213676,62.39316239316239,25.64102564102564,Kim
16,216,269,347,2,618,43.52750809061489,56.148867313915865,12.62135922330097,Kim
17,217,290,365,2,657,44.1400304414003,55.55555555555556,11.415525114155251,Kim
18,218,207,231,4,442,46.83257918552036,52.26244343891403,5.429864253393665,Kim
19,219,196,289,7,492,39.83739837398374,58.739837398373986,18.902439024390244,Kim
20,220,269,309,2,580,46.37931034482759,53.275862068965516,6.896551724137931,Kim
21,221,290,337,4,631,45.95879556259905,53.40729001584786,7.448494453248812,Kim
22,222,320,313,6,639,50.07824726134585,48.98278560250392,-1.0954616588419406,Seth
23,223,295,352,3,650,45.38461538461539,54.15384615384615,8.76923076923077,Kim
24,224,272,368,6,646,42.10526315789473,56.965944272445824,14.860681114551083,Kim
25,225,162,223,1,386,41.968911917098445,57.77202072538861,15.803108808290157,Kim
26,226,233,262,3,498,46.787148594377506,52.610441767068274,5.8232931726907635,Kim
27,227,186,266,2,454,40.969162995594715,58.590308370044056,17.62114537444934,Kim
28,228,94,146,4,244,38.52459016393443,59.83606557377049,21.311475409836063,Kim
29,229,140,175,4,319,43.8871473354232,54.858934169278996,10.9717868338558,Kim
30,230,104,141,1,246,42.27642276422765,57.3170731707317,15.040650406504067,Kim
31,231,242,246,5,493,49.08722109533469,49.89858012170386,0.8113590263691683,Kim
32,232,244,270,4,518,47.10424710424711,52.123552123552116,5.019305019305019,Kim
33,233,276,336,2,614,44.951140065146575,54.72312703583062,9.77198697068404,Kim
34,234,234,357,1,592,39.52702702702703,60.304054054054056,20.777027027027025,Kim
35,235,222,247,2,471,47.13375796178344,52.4416135881104,5.3078556263269645,Kim
36,236,278,277,3,558,49.82078853046595,49.6415770609319,-0.17921146953405018,Seth
37,237,215,239,1,455,47.25274725274725,52.52747252747253,5.274725274725275,Kim
38,238,188,254,3,445,42.247191011235955,57.078651685393254,14.831460674157304,Kim
39,239,174,242,5,421,41.33016627078385,57.482185273159146,16.152019002375297,Kim
40,240,175,261,2,438,39.95433789954338,59.589041095890416,19.63470319634703,Kim
41,241,289,306,2,597,48.40871021775545,51.256281407035175,2.8475711892797317,Kim
42,242,145,154,0,299,48.49498327759198,51.50501672240802,3.0100334448160537,Kim
43,243,196,246,3,445,44.04494382022472,55.28089887640449,11.235955056179774,Kim
44,244,125,212,3,340,36.76470588235294,62.35294117647059,25.588235294117645,Kim
45,245,167,236,7,410,40.731707317073166,57.56097560975609,16.82926829268293,Kim
46,246,179,255,3,437,40.96109839816934,58.35240274599543,17.391304347826086,Kim
47,247,181,179,4,364,49.72527472527473,49.175824175824175,-0.5494505494505495,Seth
48,248,270,265,2,537,50.27932960893855,49.34823091247672,-0.931098696461825,Seth
49,249,249,333,3,585,42.56410256410256,56.92307692307692,14.358974358974358,Kim
50,250,206,256,0,462,44.58874458874459,55.41125541125541,10.822510822510822,Kim
51,251,199,245,1,445,44.71910112359551,55.0561797752809,10.337078651685392,Kim
52,252,310,220,5,535,57.943925233644855,41.1214953271028,-16.822429906542055,Seth
53,253,71,72,0,143,49.65034965034965,50.349650349650354,0.6993006993006993,Kim
54,254,105,181,8,294,35.714285714285715,61.564625850340136,25.850340136054424,Kim
55,255,209,297,0,506,41.30434782608695,58.69565217391305,17.391304347826086,Kim
56,256,382,318,3,703,54.338549075391185,45.23470839260313,-9.103840682788052,Seth
57,257,220,242,3,465,47.31182795698925,52.04301075268817,4.731182795698925,Kim
58,258,235,195,2,432,54.39814814814815,45.13888888888889,-9.25925925925926,Seth
59,259,235,217,3,455,51.64835164835166,47.69230769230769,-3.9560439560439558,Seth
60,260,144,196,6,346,41.61849710982659,56.64739884393064,15.028901734104046,Kim
61,261,310,336,3,649,47.76579352850539,51.771956856702616,4.006163328197227,Kim
62,262,356,229,1,586,60.75085324232082,39.07849829351536,-21.672354948805463,Seth
63,263,331,339,0,670,49.40298507462686,50.59701492537313,1.1940298507462688,Kim
64,264,345,347,1,693,49.78354978354979,50.072150072150066,0.2886002886002886,Kim
65,265,343,253,1,597,57.45393634840871,42.3785594639866,-15.07537688442211,Seth
66,266,261,322,6,589,44.312393887945674,54.66893039049236,10.35653650254669,Kim
